repeat,case_id,family_id,active_branch_id,question_mode,condition,question,answer,prompt_tokens,response_tokens,prompt_chars,latency_ms,correct,polluted,expected_hits,forbidden_hits,active_branch_position,active_history_messages
1,nova_q01,nova,nova_b1,implicit,linear,当前这个项目最终使用什么数据库，负责人是谁？,CockroachDB，Eve,4166,225,6774,4161.55,False,True,,CockroachDB | Eve,0,41
1,nova_q01,nova,nova_b1,implicit,branch,当前这个项目最终使用什么数据库，负责人是谁？,"数据库：PostgreSQL 16  
负责人：Alice",1077,167,1658,1130.25,True,False,PostgreSQL 16 | Alice,,0,41
1,nova_q01,nova,nova_b1,implicit,branch_compact_oracle,当前这个项目最终使用什么数据库，负责人是谁？,Nova Web 当前有效数据库：PostgreSQL 16；负责人：Alice。,433,160,662,901.3,True,False,PostgreSQL 16 | Alice,,0,41
1,nova_q02,nova,nova_b2,explicit,linear,Nova Mobile 当前最终采用什么后端框架和缓存？,Express 和 Memcached,4169,159,6780,1174.02,True,False,Express | Memcached,,1,48
1,nova_q02,nova,nova_b2,explicit,branch,Nova Mobile 当前最终采用什么后端框架和缓存？,确认，Nova Mobile 的最终后端框架是 Express，缓存是 Memcached。,1220,197,2016,1408.84,True,False,Express | Memcached,,1,48
1,nova_q02,nova,nova_b2,explicit,branch_compact_oracle,Nova Mobile 当前最终采用什么后端框架和缓存？,后端框架为 Express，缓存使用 Memcached。,436,192,696,1115.01,True,False,Express | Memcached,,1,48
1,nova_q03,nova,nova_b3,implicit,linear,当前这个项目部署在哪个区域，服务端口是多少？,GCP asia-northeast1，9300,4168,215,6774,1513.24,False,True,,GCP asia-northeast1 | 9300,2,34
1,nova_q03,nova,nova_b3,implicit,branch,当前这个项目部署在哪个区域，服务端口是多少？,Azure eastasia，服务端口 8300。,914,142,1486,989.16,True,False,Azure eastasia | 8300,,2,34
1,nova_q03,nova,nova_b3,implicit,branch_compact_oracle,当前这个项目部署在哪个区域，服务端口是多少？,"部署区域：Azure eastasia  
服务端口：8300",442,116,708,691.3,True,False,Azure eastasia | 8300,,2,34
1,nova_q04,nova,nova_b4,explicit,linear,Nova Data 的最终发布日期是什么时候，负责人是谁？,Nova Data 的最终发布日期是 11月12日，负责人是 David。,4167,135,6781,1031.21,True,False,11月12日 | David,,3,31
1,nova_q04,nova,nova_b4,explicit,branch,Nova Data 的最终发布日期是什么时候，负责人是谁？,确认，Nova Data 的最终发布日期是 11月12日，负责人是 David。,848,239,1376,1525.81,True,False,11月12日 | David,,3,31
1,nova_q04,nova,nova_b4,explicit,branch_compact_oracle,Nova Data 的最终发布日期是什么时候，负责人是谁？,"最终发布日期：11月12日  
负责人：David",426,183,702,1079.79,True,False,11月12日 | David,,3,31
