repeat,case_id,family_id,active_branch_id,active_branch_name,question_mode,condition,question,answer,prompt_tokens,response_tokens,prompt_chars,latency_ms,correct,polluted,expected_hits,forbidden_hits,active_branch_position,active_history_messages
1,nova_q01,nova,nova_b1,Nova Web,implicit,linear,当前这个项目最终使用什么数据库，负责人是谁？,确认，Nova Data 的最终数据库是 SQLite，负责人是 David。,4171,201,6781,4710.81,False,True,,SQLite | David,0,41
1,nova_q01,nova,nova_b1,Nova Web,implicit,linear_tagged,当前这个项目最终使用什么数据库，负责人是谁？,数据库：SQLite，负责人：David。,4233,148,6888,1698.03,False,True,,SQLite | David,0,41
1,nova_q01,nova,nova_b1,Nova Web,implicit,branch,当前这个项目最终使用什么数据库，负责人是谁？,Nova Web 当前有效的数据库是 PostgreSQL 16，负责人是 Alice。,1139,166,1772,1042.97,True,False,PostgreSQL 16 | Alice,,0,41
1,nova_q01,nova,nova_b1,Nova Web,implicit,branch_compact_oracle,当前这个项目最终使用什么数据库，负责人是谁？,PostgreSQL 16 | Alice,495,120,776,714.41,True,False,PostgreSQL 16 | Alice,,0,41
1,nova_q02,nova,nova_b2,Nova Mobile,explicit,linear,Nova Mobile 当前最终采用什么后端框架和缓存？,Express 与 Redis,4174,181,6787,1738.62,False,True,Express,Redis,1,48
1,nova_q02,nova,nova_b2,Nova Mobile,explicit,linear_tagged,Nova Mobile 当前最终采用什么后端框架和缓存？,确认，Nova Mobile 的最终后端框架是 Express，缓存是 Redis。,4231,254,6903,2390.69,False,True,Express,Redis,1,48
1,nova_q02,nova,nova_b2,Nova Mobile,explicit,branch,Nova Mobile 当前最终采用什么后端框架和缓存？,当前有效结论：后端框架为 Express，缓存为 Memcached。,1282,115,2139,931.64,True,False,Express | Memcached,,1,48
1,nova_q02,nova,nova_b2,Nova Mobile,explicit,branch_compact_oracle,Nova Mobile 当前最终采用什么后端框架和缓存？,Express、Memcached,498,116,819,704.55,True,False,Express | Memcached,,1,48
1,nova_q03,nova,nova_b3,Nova Admin,implicit,linear,当前这个项目部署在哪个区域，服务端口是多少？,确认，Nova Mobile 的部署区域是 GCP us-central1，服务端口是 8200。,4173,309,6781,2589.7,False,True,,GCP us-central1 | 8200,2,34
1,nova_q03,nova,nova_b3,Nova Admin,implicit,linear_tagged,当前这个项目部署在哪个区域，服务端口是多少？,GCP us-central1，服务端口8200。,4230,224,6894,2181.68,False,True,,GCP us-central1 | 8200,2,34
1,nova_q03,nova,nova_b3,Nova Admin,implicit,branch,当前这个项目部署在哪个区域，服务端口是多少？,Azure eastasia，服务端口8300。,976,149,1606,1093.33,True,False,Azure eastasia | 8300,,2,34
1,nova_q03,nova,nova_b3,Nova Admin,implicit,branch_compact_oracle,当前这个项目部署在哪个区域，服务端口是多少？,"部署区域：Azure eastasia  
服务端口：8300",504,145,828,863.46,True,False,Azure eastasia | 8300,,2,34
1,nova_q04,nova,nova_b4,Nova Data,explicit,linear,Nova Data 的最终发布日期是什么时候，负责人是谁？,11月12日，负责人是 David。,4172,194,6788,1936.57,True,False,11月12日 | David,,3,31
1,nova_q04,nova,nova_b4,Nova Data,explicit,linear_tagged,Nova Data 的最终发布日期是什么时候，负责人是谁？,Nova Data 最终最终发布日期：11月12日。负责人：David。,4229,205,6898,2172.86,True,False,11月12日 | David,,3,31
