repeat,case_id,family_id,active_branch_id,active_branch_name,question_mode,condition,question,answer,prompt_tokens,response_tokens,prompt_chars,latency_ms,correct,polluted,expected_hits,forbidden_hits,active_branch_position,active_history_messages
1,nova_q01,nova,nova_b1,Nova Web,implicit,linear,当前这个项目最终使用什么数据库，负责人是谁？,"SQLite, David",4171,1189,6781,18842.39,False,True,,SQLite | David,0,41
1,nova_q01,nova,nova_b1,Nova Web,implicit,linear_tagged,当前这个项目最终使用什么数据库，负责人是谁？,数据库：SQLite，负责人：David,4233,1004,6888,13895.45,False,True,,SQLite | David,0,41
1,nova_q01,nova,nova_b1,Nova Web,implicit,branch,当前这个项目最终使用什么数据库，负责人是谁？,Nova Web 最终数据库为 PostgreSQL 16，负责人是 Alice。,1139,730,1772,8202.71,True,False,PostgreSQL 16 | Alice,,0,41
1,nova_q01,nova,nova_b1,Nova Web,implicit,branch_compact_oracle,当前这个项目最终使用什么数据库，负责人是谁？,"PostgreSQL 16, Alice",495,646,776,6920.07,True,False,PostgreSQL 16 | Alice,,0,41
1,nova_q02,nova,nova_b2,Nova Mobile,explicit,linear,Nova Mobile 当前最终采用什么后端框架和缓存？,后端框架：Express；缓存：Memcached,4174,1402,6787,23198.06,True,False,Express | Memcached,,1,48
1,nova_q02,nova,nova_b2,Nova Mobile,explicit,linear_tagged,Nova Mobile 当前最终采用什么后端框架和缓存？,后端框架：Express，缓存：Memcached,4231,588,6903,8843.81,True,False,Express | Memcached,,1,48
1,nova_q02,nova,nova_b2,Nova Mobile,explicit,branch,Nova Mobile 当前最终采用什么后端框架和缓存？,后端框架：Express，缓存：Memcached,1282,740,2139,8621.46,True,False,Express | Memcached,,1,48
1,nova_q02,nova,nova_b2,Nova Mobile,explicit,branch_compact_oracle,Nova Mobile 当前最终采用什么后端框架和缓存？,后端框架：Express，缓存：Memcached,498,780,819,8308.07,True,False,Express | Memcached,,1,48
1,nova_q03,nova,nova_b3,Nova Admin,implicit,linear,当前这个项目部署在哪个区域，服务端口是多少？,GCP us-central1，8200,4173,1062,6781,14279.47,False,True,,GCP us-central1 | 8200,2,34
1,nova_q03,nova,nova_b3,Nova Admin,implicit,linear_tagged,当前这个项目部署在哪个区域，服务端口是多少？,"Azure eastasia, 8300",4230,1386,6894,18677.36,True,False,Azure eastasia | 8300,,2,34
1,nova_q03,nova,nova_b3,Nova Admin,implicit,branch,当前这个项目部署在哪个区域，服务端口是多少？,部署区域：Azure eastasia，服务端口：8300,976,447,1606,5388.44,True,False,Azure eastasia | 8300,,2,34
1,nova_q03,nova,nova_b3,Nova Admin,implicit,branch_compact_oracle,当前这个项目部署在哪个区域，服务端口是多少？,"Azure eastasia, 8300",504,1028,828,11039.53,True,False,Azure eastasia | 8300,,2,34
1,nova_q04,nova,nova_b4,Nova Data,explicit,linear,Nova Data 的最终发布日期是什么时候，负责人是谁？,11月12日，David,4172,728,6788,10312.5,True,False,11月12日 | David,,3,31
1,nova_q04,nova,nova_b4,Nova Data,explicit,linear_tagged,Nova Data 的最终发布日期是什么时候，负责人是谁？,11月12日，David,4229,1450,6898,20107.69,True,False,11月12日 | David,,3,31
1,nova_q04,nova,nova_b4,Nova Data,explicit,branch,Nova Data 的最终发布日期是什么时候，负责人是谁？,11月12日，David,910,1556,1493,17987.07,True,False,11月12日 | David,,3,31
1,nova_q04,nova,nova_b4,Nova Data,explicit,branch_compact_oracle,Nova Data 的最终发布日期是什么时候，负责人是谁？,11月12日，David,488,1316,819,14145.98,True,False,11月12日 | David,,3,31
1,nova_q05,nova,nova_b5,Nova Edge,implicit,linear,当前这个产品的 Pro 方案多少钱，包含多少存储？,149美元/月，2TB,4172,1262,6784,17190.03,True,False,149美元/月 | 2TB,,4,30
1,nova_q05,nova,nova_b5,Nova Edge,implicit,linear_tagged,当前这个产品的 Pro 方案多少钱，包含多少存储？,149美元/月，2TB,4229,884,6894,12663.72,True,False,149美元/月 | 2TB,,4,30
1,nova_q05,nova,nova_b5,Nova Edge,implicit,branch,当前这个产品的 Pro 方案多少钱，包含多少存储？,149美元/月，2TB,920,1187,1455,13617.36,True,False,149美元/月 | 2TB,,4,30
1,nova_q05,nova,nova_b5,Nova Edge,implicit,branch_compact_oracle,当前这个产品的 Pro 方案多少钱，包含多少存储？,149美元/月，2TB,526,1422,839,15601.76,True,False,149美元/月 | 2TB,,4,30
1,nova_q06,nova,nova_b1,Nova Web,explicit,linear,Nova Web 的本地模型和 temperature 最终分别是什么？,"Qwen3 1.7B, 0",4172,1679,6795,22432.49,True,False,Qwen3 1.7B | 0,,0,41
1,nova_q06,nova,nova_b1,Nova Web,explicit,linear_tagged,Nova Web 的本地模型和 temperature 最终分别是什么？,Qwen3 1.7B 和 0,4234,2211,6902,29672.09,True,False,Qwen3 1.7B | 0,,0,41
1,nova_q06,nova,nova_b1,Nova Web,explicit,branch,Nova Web 的本地模型和 temperature 最终分别是什么？,Qwen3 1.7B 和 0,1140,1460,1786,16599.89,True,False,Qwen3 1.7B | 0,,0,41
1,nova_q06,nova,nova_b1,Nova Web,explicit,branch_compact_oracle,Nova Web 的本地模型和 temperature 最终分别是什么？,Qwen3 1.7B 和 0,496,2008,790,22078.81,True,False,Qwen3 1.7B | 0,,0,41
1,nova_q07,nova,nova_b2,Nova Mobile,implicit,linear,当前这个项目的数据库和后端框架最终是什么？,CockroachDB 和 Go Gin,4171,1578,6780,21190.99,False,True,,CockroachDB | Go Gin,1,48
1,nova_q07,nova,nova_b2,Nova Mobile,implicit,linear_tagged,当前这个项目的数据库和后端框架最终是什么？,数据库：CockroachDB，后端框架：Go Gin,4228,1187,6896,16409.86,False,True,,CockroachDB | Go Gin,1,48
1,nova_q07,nova,nova_b2,Nova Mobile,implicit,branch,当前这个项目的数据库和后端框架最终是什么？,数据库：MongoDB 7，后端框架：Express,1279,1235,2132,14917.02,True,False,MongoDB 7 | Express,,1,48
1,nova_q07,nova,nova_b2,Nova Mobile,implicit,branch_compact_oracle,当前这个项目的数据库和后端框架最终是什么？,数据库：MongoDB 7，后端框架：Express,495,819,812,8877.9,True,False,MongoDB 7 | Express,,1,48
1,nova_q08,nova,nova_b3,Nova Admin,explicit,linear,Nova Admin 部署在哪个区域，生产数据库是什么？,Azure eastasia 和 MySQL 8,4174,1669,6787,22417.95,True,False,Azure eastasia | MySQL 8,,2,34
1,nova_q08,nova,nova_b3,Nova Admin,explicit,linear_tagged,Nova Admin 部署在哪个区域，生产数据库是什么？,Azure eastasia 和 MySQL 8,4231,1833,6900,25175.33,True,False,Azure eastasia | MySQL 8,,2,34
1,nova_q08,nova,nova_b3,Nova Admin,explicit,branch,Nova Admin 部署在哪个区域，生产数据库是什么？,Azure eastasia 和 MySQL 8,977,2173,1612,24968.56,True,False,Azure eastasia | MySQL 8,,2,34
1,nova_q08,nova,nova_b3,Nova Admin,explicit,branch_compact_oracle,Nova Admin 部署在哪个区域，生产数据库是什么？,部署区域：Azure eastasia，生产数据库：MySQL 8,505,1267,834,13871.08,True,False,Azure eastasia | MySQL 8,,2,34
1,nova_q09,nova,nova_b4,Nova Data,implicit,linear,当前这个版本最终发布日期和服务端口分别是什么？,10月8日，8300,4172,1293,6782,17431.19,False,True,,10月8日 | 8300,3,31
1,nova_q09,nova,nova_b4,Nova Data,implicit,linear_tagged,当前这个版本最终发布日期和服务端口分别是什么？,"10月8日, 8300",4229,1731,6892,23649.43,False,True,,10月8日 | 8300,3,31
1,nova_q09,nova,nova_b4,Nova Data,implicit,branch,当前这个版本最终发布日期和服务端口分别是什么？,"11月12日, 9200",910,1600,1487,18735.28,True,False,11月12日 | 9200,,3,31
1,nova_q09,nova,nova_b4,Nova Data,implicit,branch_compact_oracle,当前这个版本最终发布日期和服务端口分别是什么？,发布日期：11月12日，服务端口：9200,488,2012,813,22224.94,True,False,11月12日 | 9200,,3,31
1,nova_q10,nova,nova_b5,Nova Edge,explicit,linear,Nova Edge 当前选用什么本地模型，Pro 存储是多少？,Nova Edge 当前选用本地模型 Qwen3 4B，Pro 存储 2TB。,4175,1343,6790,18274.1,True,False,Qwen3 4B | 2TB,,4,30
1,nova_q10,nova,nova_b5,Nova Edge,explicit,linear_tagged,Nova Edge 当前选用什么本地模型，Pro 存储是多少？,Nova Edge 当前选用本地模型 Qwen3 4B，Pro 存储 2TB。,4232,1162,6900,16532.06,True,False,Qwen3 4B | 2TB,,4,30
1,nova_q10,nova,nova_b5,Nova Edge,explicit,branch,Nova Edge 当前选用什么本地模型，Pro 存储是多少？,Qwen3 4B，2TB,923,1157,1461,14244.3,True,False,Qwen3 4B | 2TB,,4,30
1,nova_q10,nova,nova_b5,Nova Edge,explicit,branch_compact_oracle,Nova Edge 当前选用什么本地模型，Pro 存储是多少？,本地模型：Qwen3 4B，Pro 存储：2TB,529,1085,845,11950.62,True,False,Qwen3 4B | 2TB,,4,30
1,atlas_q01,atlas,atlas_b1,Atlas Analytics,implicit,linear,当前这个项目最终使用什么数据库，负责人是谁？,数据库：SQLite，负责人：David,4798,1647,8275,22891.07,False,True,,SQLite | David,1,45
1,atlas_q01,atlas,atlas_b1,Atlas Analytics,implicit,linear_tagged,当前这个项目最终使用什么数据库，负责人是谁？,SQLite，David,4855,1779,8403,24931.43,False,True,,SQLite | David,1,45
1,atlas_q01,atlas,atlas_b1,Atlas Analytics,implicit,branch,当前这个项目最终使用什么数据库，负责人是谁？,数据库：MongoDB 7，负责人：Bob,1199,1753,2214,20701.13,True,False,MongoDB 7 | Bob,,1,45
